DATE,CLOSE,SPREAD,VOLUME,UNEMP %,OIL PRICE,NEW HOMES,NEW CARS SOLD,RETAIL SALES,FED INTRST %,CSI
1996-10-01,6029.379883,272.060058,766260000.0,5.2,24.16,1392.0,15.3,200488.0,5.24,96.5
1996-11-01,6521.700195,590.7099609999996,741560000.0,5.4,22.76,1489.0,15.7,200200.0,5.31,99.2
1996-12-01,6448.27002,351.0,781180000.0,5.4,23.78,1370.0,15.2,201191.0,5.29,96.9
1997-01-01,6813.089844,553.7700200000008,1003920000.0,5.3,23.54,1355.0,15.7,202414.0,5.25,97.4
1997-02-01,6877.740234000001,362.8999020000001,765900000.0,5.2,20.85,1486.0,15.3,204273.0,5.19,99.7
1997-03-01,6583.47998,550.8999030000004,962230000.0,5.2,19.13,1457.0,15.8,204965.0,5.39,100.0
1997-04-01,7009.0,700.7700199999999,1098930000.0,5.1,17.56,1492.0,15.1,203372.0,5.51,101.4
1997-05-01,7331.0,481.47998000000007,1046600000.0,4.9,19.02,1442.0,15.1,201676.0,5.5,103.2
1997-06-01,7672.799805,580.2802740000006,1086740000.0,5.0,17.58,1494.0,14.5,204666.0,5.56,104.5
1997-07-01,8222.599609,615.4096680000002,1265280000.0,4.9,18.46,1437.0,15.6,207049.0,5.52,107.1
1997-08-01,7622.399901999999,692.6303710000011,1123190000.0,4.8,18.6,1390.0,16.1,207643.0,5.54,104.4
1997-09-01,7945.299805,454.7797849999988,1212550000.0,4.9,18.46,1546.0,15.1,208298.0,5.54,106.0
1997-10-01,7442.100098000001,1213.630371000001,1605030000.0,4.7,19.87,1520.0,15.4,208064.0,5.5,105.6
1997-11-01,7823.100098000001,531.0795899999985,1068290000.0,4.6,19.17,1510.0,15.8,208982.0,5.52,107.2
1997-12-01,7908.299805,589.3598629999997,1156060000.0,4.7,17.18,1566.0,16.5,209379.0,5.5,102.1
1998-01-01,7906.5,592.1298830000005,1324260000.0,4.6,15.19,1525.0,14.8,209684.0,5.56,106.6
1998-02-01,8545.719727,656.8994139999995,1031480000.0,4.6,14.07,1584.0,15.2,209532.0,5.51,110.4
1998-03-01,8799.80957,553.5205070000011,1191880000.0,4.7,13.1,1567.0,15.4,210792.0,5.49,106.5
1998-04-01,9063.370117,464.5898440000001,1387960000.0,4.3,13.53,1540.0,15.9,213623.0,5.45,108.7
1998-05-01,8899.950195,473.81054699999913,1075240000.0,4.4,14.36,1536.0,17.1,214619.0,5.49,106.5
1998-06-01,8952.019531,534.8398440000001,1287570000.0,4.5,12.21,1641.0,16.8,216324.0,5.56,105.6
1998-07-01,8883.290039,551.75,1413670000.0,4.5,12.08,1698.0,14.7,214853.0,5.54,105.2
1998-08-01,7539.069823999999,1347.0502930000011,1641660000.0,4.5,11.91,1614.0,14.8,213669.0,5.55,104.4
1998-09-01,7842.620117,782.1704100000006,1897140000.0,4.6,13.34,1582.0,16.3,215712.0,5.51,100.9
1998-10-01,8592.099609,1192.3193359999987,1916330000.0,4.5,12.7,1715.0,17.1,219465.0,5.07,97.4
1998-11-01,9116.549805,784.5,1389030000.0,4.4,11.04,1660.0,16.1,221150.0,4.83,102.7
1998-12-01,9181.429688,658.8496099999993,1507520000.0,4.4,9.82,1792.0,17.4,223226.0,4.68,100.5
1999-01-01,9358.830078,584.7001950000013,1746490000.0,4.3,11.11,1748.0,16.6,224020.0,4.63,103.9
1999-02-01,9306.580078,512.2900390000013,1545220000.0,4.4,10.27,1670.0,17.1,226240.0,4.76,108.1
1999-03-01,9786.160156,874.0791009999994,1993040000.0,4.2,12.51,1710.0,16.8,227407.0,4.81,105.7
1999-04-01,10789.040039,1196.0800780000009,2096500000.0,4.3,15.29,1553.0,16.9,228978.0,4.74,104.6
1999-05-01,10559.740234,696.4101559999999,1842620000.0,4.2,15.23,1611.0,17.6,231238.0,4.74,106.8
1999-06-01,10970.799805,594.2705079999996,1766990000.0,4.3,15.86,1559.0,17.3,231926.0,4.76,107.3
1999-07-01,10655.150391,604.4091790000002,1672190000.0,4.3,19.08,1669.0,17.7,233933.0,4.99,106.0
1999-08-01,10829.280273,816.8496099999993,1857760000.0,4.2,20.22,1648.0,17.6,236589.0,5.07,104.5
1999-09-01,10336.950195,1061.2802730000003,1751910000.0,4.2,22.54,1635.0,17.7,237516.0,5.22,107.2
1999-10-01,10729.860352,814.0,2203030000.0,4.1,22.0,1608.0,17.7,237560.0,5.2,103.2
1999-11-01,10877.80957,576.5,3250890000.0,4.1,24.58,1648.0,17.6,240462.0,5.42,107.2
1999-12-01,11497.120117,709.1191400000007,3166150000.0,4.0,25.47,1708.0,18.3,245498.0,5.3,105.4
2000-01-01,10940.530273,1048.640625,3854530000.0,4.0,25.51,1636.0,18.6,243483.0,5.45,112.0
2000-02-01,10128.30957,1282.8701180000007,3661120000.0,4.1,27.78,1737.0,19.4,247133.0,5.73,111.3
2000-03-01,10921.919922,1502.8408209999998,4754630000.0,4.0,27.49,1604.0,18.3,249847.0,5.85,107.1
2000-04-01,10733.910156,1223.9199219999991,4049750000.0,3.8,22.76,1626.0,17.9,245789.0,6.02,109.2
2000-05-01,10522.330078,712.4306640000013,3816980000.0,4.0,27.74,1575.0,17.9,246225.0,6.27,110.7
2000-06-01,10447.889648,527.5400389999995,3823590000.0,4.0,29.8,1559.0,17.6,248178.0,6.53,106.4
2000-07-01,10521.980469,481.5400389999995,3248880000.0,4.0,28.68,1463.0,17.3,247184.0,6.54,108.3
2000-08-01,11215.099609,802.2998040000002,3620730000.0,4.1,30.2,1541.0,17.5,247601.0,6.5,107.3
2000-09-01,10650.919922,833.8701170000004,4639930000.0,3.9,33.14,1507.0,18.7,251812.0,6.52,106.8
2000-10-01,10971.139648,1340.7705079999996,6254820000.0,3.9,30.96,1549.0,17.5,251267.0,6.51,105.8
2000-11-01,10414.490234,714.1103519999997,4680310000.0,3.9,32.55,1551.0,16.6,250225.0,6.51,107.6
2000-12-01,10787.990234,618.4697269999997,5202580000.0,3.9,25.66,1532.0,16.2,250603.0,6.4,98.4
2001-01-01,10887.360352,559.9599610000005,5825960000.0,4.2,25.62,1600.0,17.7,252736.0,5.98,94.7
2001-02-01,10495.280273,741.1298820000011,4164820000.0,4.2,27.5,1625.0,17.8,252730.0,5.49,90.6
2001-03-01,9878.780273,1752.9599610000005,6086470000.0,4.3,24.5,1590.0,17.2,250346.0,5.31,91.5
2001-04-01,10734.969727,1530.6904290000002,5241100000.0,4.4,25.66,1649.0,16.9,254759.0,4.8,88.4
2001-05-01,10911.94043,676.8300780000009,4518100000.0,4.3,28.31,1605.0,16.9,255262.0,4.21,92.0
2001-06-01,10502.400391,801.8105460000006,4914500000.0,4.5,27.85,1636.0,17.5,254020.0,3.97,92.6
2001-07-01,10522.80957,558.2304690000001,4605880000.0,4.6,24.61,1670.0,16.5,253015.0,3.77,92.4
2001-08-01,9949.75,740.5107429999989,4083400000.0,4.9,25.68,1567.0,16.3,254570.0,3.65,91.5
2001-09-01,8847.55957,2120.0400389999995,5555020000.0,5.0,25.62,1562.0,16.4,249856.0,3.07,81.8
2001-11-01,9851.55957,978.330077999999,4722560000.0,5.5,18.8,1602.0,18.0,260363.0,2.09,83.9
2001-12-01,10021.570313,480.5498040000002,4302710000.0,5.7,18.71,1568.0,16.5,256552.0,1.82,88.8
2002-01-01,9920.0,770.6904299999987,4955760000.0,5.7,19.42,1698.0,16.5,256376.0,1.73,93.0
2002-02-01,10106.129883,674.9199210000006,4651890000.0,5.7,20.28,1829.0,17.3,257677.0,1.74,90.7
2002-03-01,10403.94043,562.0595700000013,4589750000.0,5.7,23.7,1642.0,17.1,257060.0,1.73,95.7
2002-04-01,9946.219727,590.5,5111860000.0,5.9,25.73,1592.0,17.7,261320.0,1.75,93.0
2002-05-01,9925.25,551.1992190000001,4800810000.0,5.8,25.35,1764.0,16.2,257616.0,1.75,96.9
2002-06-01,9243.259766,1059.9199210000006,5783720000.0,5.8,24.08,1717.0,16.9,259815.0,1.75,92.4
2002-07-01,8736.589844,1877.7197269999997,7714600000.0,5.8,25.74,1655.0,18.2,262811.0,1.73,88.1
2002-08-01,8663.5,1046.189942,5591350000.0,5.7,26.65,1633.0,18.4,264975.0,1.74,87.6
2002-09-01,7591.930176000001,1266.1206059999995,5601800000.0,5.7,28.4,1804.0,16.7,260650.0,1.75,86.1
2002-10-01,8397.030273,1361.1396489999988,7498850000.0,5.7,27.54,1648.0,16.3,262011.0,1.75,80.6
2002-11-01,8896.089844,651.6503900000007,5410370000.0,5.9,24.34,1753.0,16.5,263559.0,1.34,84.2
2002-12-01,8341.629883,800.4599610000005,4607200000.0,6.0,28.33,1788.0,17.9,265802.0,1.24,86.7
2003-01-01,8053.810059,952.1298829999996,5426600000.0,5.8,31.18,1853.0,16.7,267276.0,1.24,82.4
2003-02-01,7891.080078,523.5395509999989,4418320000.0,5.9,32.77,1629.0,16.1,263199.0,1.26,79.9
2003-03-01,7992.129883,1105.5395509999998,5616290000.0,5.9,30.61,1726.0,16.5,267842.0,1.25,77.6
2003-04-01,8480.089844,580.0795900000003,5128590000.0,6.0,25.0,1643.0,16.7,267240.0,1.26,86.0
2003-05-01,8850.259766,528.0996090000008,4686280000.0,6.1,25.86,1751.0,16.5,267347.0,1.26,92.1
2003-06-01,8985.44043,501.3193360000005,4987850000.0,6.3,27.65,1867.0,17.0,270432.0,1.22,89.7
2003-07-01,9233.799805,490.2001959999998,4911390000.0,6.2,28.35,1897.0,17.1,273393.0,1.01,90.9
2003-08-01,9415.820313,502.859375,3853760000.0,6.1,29.89,1833.0,18.3,277901.0,1.03,89.3
2003-09-01,9275.05957,455.6103510000012,4385460000.0,6.1,27.11,1939.0,17.3,276413.0,1.01,87.7
2003-10-01,9801.120117,573.2099609999987,4840970000.0,6.0,29.61,1967.0,16.5,274779.0,1.01,89.6
2003-11-01,9782.459961,318.07031300000017,3548520000.0,5.8,28.75,2083.0,17.6,278322.0,1.0,93.7
2003-12-01,10453.919922,677.0908209999998,4246080000.0,5.7,29.81,2057.0,17.4,277567.0,0.98,92.6
2004-01-01,10488.070313,337.76953200000025,4380510000.0,5.7,31.28,1911.0,16.7,278884.0,1.0,103.8
2004-02-01,10583.919922,318.9599610000005,3894640000.0,5.6,30.86,1846.0,17.0,280966.0,1.01,94.4
2004-03-01,10357.700195,688.0595709999998,5009640000.0,5.8,33.63,1998.0,17.2,286232.0,1.0,95.8
2004-04-01,10225.570313,351.62988199999927,4530000000.0,5.6,33.59,2003.0,16.9,282971.0,1.0,94.2
2004-05-01,10188.450195,534.1298829999996,4016800000.0,5.6,37.57,1981.0,18.2,288250.0,1.0,90.2
2004-06-01,10435.480469,363.80956999999944,4111110000.0,5.6,35.18,1828.0,16.2,284146.0,1.03,95.6
2004-07-01,10139.709961,534.169922000001,4452180000.0,5.5,38.22,2002.0,17.3,287341.0,1.26,96.7
2004-08-01,10173.919922,427.3398440000001,3756550000.0,5.4,42.74,2024.0,17.2,287909.0,1.43,95.9
2004-09-01,10080.269531,385.44043000000056,4638370000.0,5.4,43.2,1905.0,17.9,293177.0,1.61,94.2
2004-10-01,10027.469727,561.9697260000012,5292920000.0,5.5,49.78,2072.0,17.5,295055.0,1.76,91.7
2004-11-01,10428.019531,592.6992180000016,5666600000.0,5.4,43.11,1782.0,17.4,296178.0,1.93,92.8
2004-12-01,10783.009766,449.44043000000056,5744730000.0,5.4,39.6,2042.0,18.1,299766.0,2.16,97.1
2005-01-01,10489.94043,498.7792960000006,5424930000.0,5.3,44.51,2144.0,16.9,296957.0,2.28,95.5
2005-02-01,10766.230469,363.79003999999986,5038600000.0,5.4,45.48,2207.0,16.9,300511.0,2.5,94.1
2005-03-01,10503.759766,588.2197269999997,5820160000.0,5.2,53.1,1864.0,17.4,301020.0,2.63,92.6
2005-04-01,10192.509766,568.4697269999997,5852240000.0,5.2,51.88,2061.0,17.8,304180.0,2.79,87.7
2005-05-01,10467.480469,485.2597649999989,4843000000.0,5.1,48.65,2025.0,17.4,301708.0,3.0,86.9
2005-06-01,10274.969727,402.79980499999874,5026730000.0,5.0,54.35,2068.0,18.5,310946.0,3.04,96.0
2005-07-01,10640.910156,542.3300780000009,4821200000.0,5.0,57.52,2054.0,21.1,313634.0,3.26,96.5
2005-08-01,10481.599609,370.0400389999995,5082400000.0,4.9,63.98,2095.0,17.4,309881.0,3.5,89.1
2005-09-01,10568.700195,350.84960899999896,5229310000.0,5.0,62.91,2151.0,16.9,310350.0,3.62,76.9
2005-10-01,10440.070313,452.09960899999896,5829060000.0,5.0,58.54,2065.0,15.3,310701.0,3.78,74.2
2005-11-01,10805.870117,571.0302730000003,5385780000.0,5.0,55.24,2147.0,16.5,313253.0,4.0,81.6
2005-12-01,10717.5,230.91992200000095,5223910000.0,4.9,56.86,1994.0,17.2,313528.0,4.16,91.5
2006-01-01,10864.860352,386.609375,6552210000.0,4.7,62.99,2273.0,18.1,322377.0,4.29,91.2
2006-02-01,10993.410156,421.50976600000104,5759090000.0,4.8,60.21,2119.0,17.1,320238.0,4.49,86.7
2006-03-01,11109.320313,412.2294920000004,6680180000.0,4.7,62.06,1969.0,17.0,320996.0,4.59,88.9
2006-04-01,11367.139648,378.5400389999995,5584020000.0,4.7,70.26,1821.0,17.1,322739.0,4.79,87.4
2006-05-01,11168.30957,639.7207030000009,7360590000.0,4.6,69.78,1942.0,16.7,321647.0,4.94,79.1
2006-06-01,11150.219727,586.9707039999994,6959660000.0,4.6,68.56,1802.0,16.9,323025.0,4.99,84.9
2006-07-01,11185.679688,573.7597650000007,5548680000.0,4.7,73.67,1737.0,17.7,324319.0,5.24,84.7
2006-08-01,11381.150391,364.44043000000056,4668650000.0,4.7,73.23,1650.0,16.5,325147.0,5.25,82.0
2006-09-01,11679.070313,418.1503900000007,4494890000.0,4.5,61.96,1720.0,17.0,323013.0,5.25,85.4
2006-10-01,12080.730469,513.9599610000005,5665820000.0,4.4,57.81,1491.0,16.9,322614.0,5.25,93.6
2006-11-01,12221.929688,395.69043000000056,4722850000.0,4.5,58.76,1570.0,16.7,323362.0,5.25,92.1
2006-12-01,12463.150391,439.8994139999995,4381310000.0,4.4,62.47,1649.0,17.1,327208.0,5.24,91.7
2007-01-01,12621.69043,319.6494139999995,5075440000.0,4.6,53.68,1409.0,16.9,327125.0,5.25,96.9
2007-02-01,12268.629883,709.8701180000007,4347420000.0,4.5,57.56,1480.0,17.2,328076.0,5.26,91.3
2007-03-01,12354.349609,571.4394530000009,5633180000.0,4.4,62.05,1495.0,16.4,330800.0,5.26,88.4
2007-04-01,13062.910156,837.7792969999991,4819810000.0,4.5,67.49,1490.0,16.6,329653.0,5.25,87.1
2007-05-01,13627.639647999998,631.7705079999996,5039850000.0,4.4,67.21,1415.0,16.7,334135.0,5.25,88.3
2007-06-01,13408.620117,440.4697269999997,5227620000.0,4.6,71.05,1448.0,16.2,331002.0,5.25,85.3
